Results Table 1,,,
,,,
,,,
Results Table 2,,,
,,,
,,,
1,Time,Displacement,Force
,(s),(mm),(N)
,0,0,0.0139
,0.02,0.0004,0.0112
,0.04,0.0016,0.0011
,0.06,0.0056,0.0154
,0.08,0.0114,0.0213
,0.1,0.0181,0.0538
,0.12,0.0243,0.0975
,0.14,0.0307,0.1224
,0.16,0.0376,0.1241
,0.18,0.0439,0.1321
,0.2,0.0501,0.1732
,0.22,0.0572,0.2084
,0.24,0.0644,0.2098
,0.26,0.0712,0.2217
,0.28,0.0782,0.2442
,0.3,0.085,0.2724
,0.32,0.0916,0.2882
,0.34,0.0978,0.2915
,0.36,0.1038,0.315
,0.38,0.1105,0.3591
,0.4,0.1173,0.3865
,0.42,0.124,0.3932
,0.44,0.1309,0.3881
,0.46,0.1375,0.4043
,0.48,0.1441,0.419
,0.5,0.1506,0.4334
,0.52,0.1569,0.4245
,0.54,0.1634,0.4323
,0.56,0.1695,0.4525
,0.58,0.1756,0.4887
,0.6,0.1827,0.5112
,0.62,0.1901,0.5248
,0.64,0.1977,0.5466
,0.66,0.2048,0.5556
,0.68,0.2113,0.586
,0.7,0.218,0.6226
,0.72,0.2242,0.6189
,0.74,0.2303,0.631
,0.76,0.2372,0.6393
,0.78,0.2445,0.6342
,0.8,0.2513,0.6466
,0.82,0.2578,0.6401
,0.84,0.264,0.6423
,0.86,0.2709,0.6767
,0.88,0.2778,0.703
,0.9,0.2844,0.6847
,0.92,0.2916,0.6754
,0.94,0.2988,0.6998
,0.96,0.3056,0.7396
,0.98,0.3118,0.7517
,1,0.3179,0.7364
,1.02,0.3248,0.7634
,1.04,0.3317,0.797
,1.06,0.3381,0.8116
,1.08,0.3446,0.8303
,1.1,0.3513,0.8363
,1.12,0.3581,0.8654
,1.14,0.3646,0.9069
,1.16,0.3709,0.9077
,1.18,0.3778,0.8806
,1.2,0.3852,0.8777
,1.22,0.3918,0.907
,1.24,0.3981,0.9323
,1.26,0.4044,0.9467
,1.28,0.4112,0.9689
,1.3,0.4183,1.0051
,1.32,0.4248,1.0323
,1.34,0.4313,1.0618
,1.36,0.4382,1.087
,1.38,0.4448,1.1172
,1.4,0.4519,1.1617
,1.42,0.459,1.1961
,1.44,0.4657,1.2262
,1.46,0.4719,1.2674
,1.48,0.4778,1.2962
,1.5,0.4839,1.3375
,1.52,0.4906,1.3856
,1.54,0.4973,1.4049
,1.56,0.5044,1.4325
,1.58,0.5118,1.4638
,1.6,0.5187,1.4888
,1.62,0.5252,1.5297
,1.64,0.5313,1.5598
,1.66,0.538,1.5957
,1.68,0.5448,1.6379
,1.7,0.5511,1.6833
,1.72,0.5578,1.7056
,1.74,0.5648,1.7149
,1.76,0.5716,1.7423
,1.78,0.5782,1.7952
,1.8,0.5845,1.8172
,1.82,0.5911,1.8116
,1.84,0.5981,1.827
,1.86,0.6043,1.8722
,1.88,0.6107,1.9214
,1.9,0.618,1.9361
,1.92,0.6253,1.9467
,1.94,0.6322,1.9629
,1.96,0.6385,2.0099
,1.98,0.645,2.0547
,2,0.6519,2.075
,2.02,0.6582,2.0789
,2.04,0.6646,2.1031
,2.06,0.6717,2.1413
,2.08,0.6787,2.1387
,2.1,0.6855,2.1262
,2.12,0.6913,2.1268
,2.14,0.6972,2.1498
,2.16,0.7038,2.1903
,2.18,0.7105,2.214
,2.2,0.7168,2.2188
,2.22,0.7236,2.2387
,2.24,0.7304,2.2613
,2.26,0.7372,2.2869
,2.28,0.744,2.3025
,2.3,0.7509,2.3166
,2.32,0.7588,2.3366
,2.34,0.7662,2.3636
,2.36,0.773,2.3869
,2.38,0.7795,2.3917
,2.4,0.7858,2.4016
,2.42,0.7922,2.4209
,2.44,0.7983,2.4489
,2.46,0.8045,2.4173
,2.48,0.8109,2.4126
,2.5,0.8174,2.4349
,2.52,0.8239,2.4404
,2.54,0.831,2.4536
,2.56,0.8381,2.4672
,2.58,0.8451,2.4847
,2.6,0.8518,2.5116
,2.62,0.8579,2.5174
,2.64,0.8642,2.5319
,2.66,0.8705,2.5389
,2.68,0.8769,2.5559
,2.7,0.8842,2.5499
,2.72,0.8917,2.5207
,2.74,0.8986,2.52
,2.76,0.9049,2.5264
,2.78,0.911,2.5334
,2.8,0.9176,2.5564
,2.82,0.9243,2.5783
,2.84,0.9307,2.5868
,2.86,0.9378,2.5771
,2.88,0.945,2.5855
,2.9,0.9519,2.6095
,2.92,0.9582,2.603
,2.94,0.9643,2.6091
,2.96,0.9713,2.6254
,2.98,0.9785,2.6276
,3,0.9849,2.5985
,3.02,0.9916,2.5887
,3.04,0.9984,2.5947
,3.06,1.0051,2.6028
,3.08,1.0114,2.6217
,3.1,1.0175,2.6213
,3.12,1.0242,2.6105
,3.14,1.0312,2.6075
,3.16,1.0375,2.591
,3.18,1.0441,2.5871
,3.2,1.0509,2.5854
,3.22,1.0582,2.5939
,3.24,1.0654,2.6099
,3.26,1.0716,2.6052
,3.28,1.0779,2.6053
,3.3,1.0846,2.6154
,3.32,1.0909,2.6147
,3.34,1.0977,2.6124
,3.36,1.1046,2.6171
,3.38,1.1112,2.6194
,3.4,1.1178,2.6301
,3.42,1.1237,2.6142
,3.44,1.1299,2.6058
,3.46,1.137,2.5847
,3.48,1.1438,2.5816
,3.5,1.1515,2.5829
,3.52,1.1593,2.5772
,3.54,1.1661,2.5889
,3.56,1.1724,2.5765
,3.58,1.1785,2.5555
,3.6,1.1849,2.5517
,3.62,1.1917,2.5709
,3.64,1.1979,2.5918
,3.66,1.2043,2.583
,3.68,1.2114,2.5645
,3.7,1.2181,2.5278
,3.72,1.2246,2.5259
,3.74,1.2309,2.5239
,3.76,1.2376,2.5374
,3.78,1.2448,2.5416
,3.8,1.2511,2.5389
,3.82,1.2573,2.5317
,3.84,1.2641,2.5344
,3.86,1.2712,2.5185
,3.88,1.278,2.5047
,3.9,1.2844,2.4874
,3.92,1.291,2.5085
