Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","-0.0334"
"","0.0200","0.0004","-0.0136"
"","0.0400","0.0017","0.0325"
"","0.0600","0.0058","0.0988"
"","0.0800","0.0138","0.1169"
"","0.1000","0.0236","0.1101"
"","0.1200","0.0349","0.1699"
"","0.1400","0.0447","0.1887"
"","0.1600","0.0515","0.1502"
"","0.1800","0.0565","0.1011"
"","0.2000","0.0609","0.1771"
"","0.2200","0.0655","0.2850"
"","0.2400","0.0702","0.2749"
"","0.2600","0.0753","0.1918"
"","0.2800","0.0811","0.1872"
"","0.3000","0.0876","0.2753"
"","0.3200","0.0940","0.3346"
"","0.3400","0.1004","0.3170"
"","0.3600","0.1074","0.2765"
"","0.3800","0.1142","0.2951"
"","0.4000","0.1206","0.3557"
"","0.4200","0.1269","0.3639"
"","0.4400","0.1331","0.3381"
"","0.4600","0.1399","0.3503"
"","0.4800","0.1463","0.3953"
"","0.5000","0.1522","0.4306"
"","0.5200","0.1588","0.4272"
"","0.5400","0.1657","0.4308"
"","0.5600","0.1729","0.4615"
"","0.5800","0.1795","0.4653"
"","0.6000","0.1858","0.4346"
"","0.6200","0.1926","0.4355"
"","0.6400","0.1992","0.4890"
"","0.6600","0.2053","0.5184"
"","0.6800","0.2121","0.5009"
"","0.7000","0.2193","0.4724"
"","0.7200","0.2264","0.5358"
"","0.7400","0.2329","0.5919"
"","0.7600","0.2388","0.5641"
"","0.7800","0.2452","0.5178"
"","0.8000","0.2522","0.5637"
"","0.8200","0.2589","0.6479"
"","0.8400","0.2659","0.6197"
"","0.8600","0.2728","0.5375"
"","0.8800","0.2795","0.5685"
"","0.9000","0.2862","0.6766"
"","0.9200","0.2922","0.6724"
"","0.9400","0.2986","0.6189"
"","0.9600","0.3056","0.6292"
"","0.9800","0.3125","0.6920"
"","1.0000","0.3194","0.6860"
"","1.0200","0.3259","0.6240"
"","1.0400","0.3323","0.6345"
"","1.0600","0.3390","0.7091"
"","1.0800","0.3454","0.7057"
"","1.1000","0.3518","0.6536"
"","1.1200","0.3585","0.6765"
"","1.1400","0.3649","0.7370"
"","1.1600","0.3716","0.7334"
"","1.1800","0.3787","0.6910"
"","1.2000","0.3856","0.6928"
"","1.2200","0.3925","0.7475"
"","1.2400","0.3990","0.7698"
"","1.2600","0.4055","0.7415"
"","1.2800","0.4122","0.7161"
"","1.3000","0.4186","0.7409"
"","1.3200","0.4255","0.7812"
