Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","0.0750"
"","0.0200","0.0004","-0.1010"
"","0.0400","0.0010","-0.0297"
"","0.0600","0.0020","0.1588"
"","0.0800","0.0034","0.1566"
"","0.1000","0.0053","-0.0398"
"","0.1200","0.0101","-0.0646"
"","0.1400","0.0242","0.2832"
"","0.1600","0.0357","0.4869"
"","0.1800","0.0423","0.4420"
"","0.2000","0.0470","0.3399"
"","0.2200","0.0518","0.4298"
"","0.2400","0.0572","0.6506"
"","0.2600","0.0623","0.7390"
"","0.2800","0.0676","0.6713"
"","0.3000","0.0738","0.6008"
"","0.3200","0.0803","0.7113"
"","0.3400","0.0868","0.8986"
"","0.3600","0.0936","0.9303"
"","0.3800","0.0997","0.8098"
"","0.4000","0.1059","0.7925"
"","0.4200","0.1125","0.9646"
"","0.4400","0.1185","1.1187"
"","0.4600","0.1246","1.0309"
"","0.4800","0.1310","0.8749"
"","0.5000","0.1374","0.9663"
"","0.5200","0.1443","1.2514"
"","0.5400","0.1509","1.3006"
"","0.5600","0.1569","1.0728"
"","0.5800","0.1634","0.9837"
"","0.6000","0.1703","1.2268"
"","0.6200","0.1775","1.4119"
"","0.6400","0.1845","1.2620"
"","0.6600","0.1910","1.0792"
"","0.6800","0.1976","1.2142"
"","0.7000","0.2039","1.4151"
"","0.7200","0.2098","1.3742"
"","0.7400","0.2164","1.2447"
"","0.7600","0.2235","1.2996"
"","0.7800","0.2306","1.4568"
"","0.8000","0.2378","1.4416"
"","0.8200","0.2441","1.3200"
"","0.8400","0.2505","1.3593"
"","0.8600","0.2573","1.4701"
"","0.8800","0.2638","1.4738"
"","0.9000","0.2705","1.3924"
"","0.9200","0.2770","1.4259"
"","0.9400","0.2835","1.4957"
"","0.9600","0.2905","1.5237"
"","0.9800","0.2970","1.5209"
"","1.0000","0.3034","1.5498"
"","1.0200","0.3101","1.5272"
"","1.0400","0.3166","1.5030"
"","1.0600","0.3236","1.5918"
"","1.0800","0.3302","1.6442"
"","1.1000","0.3363","1.5492"
"","1.1200","0.3430","1.4908"
"","1.1400","0.3500","1.6238"
"","1.1600","0.3570","1.7640"
"","1.1800","0.3637","1.6836"
"","1.2000","0.3698","1.5131"
"","1.2200","0.3763","1.5861"
"","1.2400","0.3833","1.8146"
"","1.2600","0.3899","1.8105"
"","1.2800","0.3972","1.5912"
"","1.3000","0.4044","1.5414"
"","1.3200","0.4112","1.7728"
"","1.3400","0.4175","1.8956"
"","1.3600","0.4233","1.7240"
"","1.3800","0.4297","1.5580"
"","1.4000","0.4369","1.7095"
"","1.4200","0.4439","1.9351"
"","1.4400","0.4506","1.8857"
"","1.4600","0.4569","1.6639"
"","1.4800","0.4634","1.6302"
"","1.5000","0.4702","1.8511"
"","1.5200","0.4762","1.9694"
"","1.5400","0.4826","1.8388"
"","1.5600","0.4899","1.6879"
"","1.5800","0.4971","1.7654"
"","1.6000","0.5041","1.9744"
"","1.6200","0.5104","1.9956"
"","1.6400","0.5168","1.8210"
"","1.6600","0.5237","1.7281"
"","1.6800","0.5303","1.8743"
"","1.7000","0.5366","2.0661"
"","1.7200","0.5433","1.9977"
"","1.7400","0.5498","1.7668"
"","1.7600","0.5569","1.7830"
"","1.7800","0.5638","2.0382"
"","1.8000","0.5704","2.1424"
"","1.8200","0.5776","1.9133"
"","1.8400","0.5841","1.7302"
"","1.8600","0.5902","1.9259"
"","1.8800","0.5968","2.1883"
"","1.9000","0.6032","2.0914"
"","1.9200","0.6105","1.8327"
"","1.9400","0.6179","1.8437"
"","1.9600","0.6244","2.0977"
"","1.9800","0.6307","2.1649"
"","2.0000","0.6368","1.9395"
"","2.0200","0.6429","1.8274"
"","2.0400","0.6497","2.0336"
"","2.0600","0.6565","2.2232"
"","2.0800","0.6634","2.1233"
"","2.1000","0.6703","1.9140"
"","2.1200","0.6767","1.9429"
"","2.1400","0.6831","2.1402"
"","2.1600","0.6895","2.1743"
"","2.1800","0.6958","2.0424"
"","2.2000","0.7031","1.9624"
"","2.2200","0.7101","2.0142"
"","2.2400","0.7167","2.1179"
"","2.2600","0.7234","2.1581"
"","2.2800","0.7302","2.0622"
"","2.3000","0.7370","1.9549"
"","2.3200","0.7435","2.0123"
"","2.3400","0.7497","2.1699"
"","2.3600","0.7566","2.2181"
"","2.3800","0.7634","2.0665"
"","2.4000","0.7698","1.9710"
"","2.4200","0.7762","2.0998"
"","2.4400","0.7828","2.2531"
"","2.4600","0.7901","2.1915"
"","2.4800","0.7972","2.0233"
"","2.5000","0.8030","2.0223"
"","2.5200","0.8093","2.1779"
"","2.5400","0.8163","2.2517"
"","2.5600","0.8232","2.1414"
"","2.5800","0.8303","2.0291"
"","2.6000","0.8368","2.0779"
"","2.6200","0.8431","2.2189"
"","2.6400","0.8493","2.2383"
"","2.6600","0.8551","2.0957"
"","2.6800","0.8616","2.0508"
"","2.7000","0.8688","2.1802"
"","2.7200","0.8761","2.2839"
"","2.7400","0.8836","2.1846"
"","2.7600","0.8903","2.0355"
"","2.7800","0.8967","2.1167"
"","2.8000","0.9036","2.2884"
"","2.8200","0.9101","2.2465"
"","2.8400","0.9168","2.0698"
