Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0000","-0.0291"
"","0.0200","0.0001","0.0277"
"","0.0400","0.0004","0.0145"
"","0.0600","0.0008","-0.0773"
"","0.0800","0.0014","-0.1026"
"","0.1000","0.0020","-0.0174"
"","0.1200","0.0027","0.0448"
"","0.1400","0.0036","0.0277"
"","0.1600","0.0048","0.0304"
"","0.1800","0.0062","0.1492"
"","0.2000","0.0080","0.1608"
"","0.2200","0.0104","-0.0044"
"","0.2400","0.0136","-0.1062"
"","0.2600","0.0160","-0.0103"
"","0.2800","0.0186","0.1447"
"","0.3000","0.0217","0.1506"
"","0.3200","0.0253","0.0357"
"","0.3400","0.0284","0.0289"
"","0.3600","0.0309","0.1428"
"","0.3800","0.0334","0.2128"
"","0.4000","0.0362","0.1559"
"","0.4200","0.0394","0.0989"
"","0.4400","0.0432","0.1380"
"","0.4600","0.0476","0.2028"
"","0.4800","0.0521","0.2306"
"","0.5000","0.0557","0.1965"
"","0.5200","0.0590","0.1678"
"","0.5400","0.0625","0.2428"
"","0.5600","0.0663","0.3222"
"","0.5800","0.0702","0.3268"
"","0.6000","0.0740","0.2790"
"","0.6200","0.0777","0.2773"
"","0.6400","0.0811","0.3224"
"","0.6600","0.0843","0.3433"
"","0.6800","0.0872","0.3333"
"","0.7000","0.0899","0.3169"
"","0.7200","0.0928","0.3519"
"","0.7400","0.0960","0.4194"
"","0.7600","0.0994","0.4518"
"","0.7800","0.1030","0.4354"
"","0.8000","0.1065","0.4066"
"","0.8200","0.1097","0.4222"
"","0.8400","0.1129","0.4874"
"","0.8600","0.1165","0.5113"
"","0.8800","0.1205","0.4930"
"","0.9000","0.1244","0.4810"
"","0.9200","0.1282","0.5115"
"","0.9400","0.1318","0.5762"
"","0.9600","0.1353","0.6031"
"","0.9800","0.1385","0.5990"
"","1.0000","0.1413","0.6185"
"","1.0200","0.1439","0.6632"
"","1.0400","0.1465","0.7096"
"","1.0600","0.1495","0.7019"
"","1.0800","0.1529","0.6633"
"","1.1000","0.1565","0.6777"
"","1.1200","0.1600","0.7292"
"","1.1400","0.1633","0.7598"
"","1.1600","0.1666","0.7528"
"","1.1800","0.1701","0.7625"
"","1.2000","0.1737","0.8248"
"","1.2200","0.1774","0.8784"
"","1.2400","0.1810","0.8772"
"","1.2600","0.1844","0.8545"
"","1.2800","0.1877","0.8746"
"","1.3000","0.1909","0.9224"
"","1.3200","0.1939","0.9529"
"","1.3400","0.1969","0.9309"
"","1.3600","0.1998","0.9328"
"","1.3800","0.2028","0.9907"
"","1.4000","0.2062","1.0484"
"","1.4200","0.2098","1.0643"
"","1.4400","0.2135","1.0474"
"","1.4600","0.2168","1.0334"
"","1.4800","0.2202","1.0799"
"","1.5000","0.2237","1.1252"
"","1.5200","0.2273","1.1287"
"","1.5400","0.2307","1.1211"
"","1.5600","0.2339","1.1427"
"","1.5800","0.2371","1.2009"
"","1.6000","0.2404","1.2433"
"","1.6200","0.2438","1.2347"
"","1.6400","0.2472","1.2423"
"","1.6600","0.2503","1.2925"
"","1.6800","0.2533","1.3285"
"","1.7000","0.2563","1.3170"
"","1.7200","0.2595","1.2866"
"","1.7400","0.2630","1.3016"
"","1.7600","0.2664","1.3549"
"","1.7800","0.2697","1.3987"
"","1.8000","0.2727","1.4278"
"","1.8200","0.2759","1.4294"
"","1.8400","0.2795","1.4665"
"","1.8600","0.2833","1.5209"
"","1.8800","0.2870","1.5272"
"","1.9000","0.2905","1.5066"
"","1.9200","0.2938","1.5088"
"","1.9400","0.2972","1.5390"
"","1.9600","0.3006","1.5837"
"","1.9800","0.3039","1.6087"
"","2.0000","0.3070","1.6048"
"","2.0200","0.3103","1.6219"
"","2.0400","0.3137","1.6751"
"","2.0600","0.3171","1.7201"
"","2.0800","0.3204","1.7273"
"","2.1000","0.3236","1.7203"
"","2.1200","0.3265","1.7333"
"","2.1400","0.3297","1.7556"
"","2.1600","0.3331","1.7635"
"","2.1800","0.3368","1.7716"
"","2.2000","0.3406","1.8021"
